FEASIBILITYID,ASSIGNED_TO,AUDIT_STATUS,start_date,END,end_date,business_days
FS0000000628450,CAPE,CSS,2025-09-01 09:29:11,2025-09-09 10:08:47.000,2025-09-09 10:08:47,7.0
FS0000000627465,CSS,CSS,2025-09-01 09:40:56,2025-09-08 10:11:43.000,2025-09-08 10:11:43,6.0
FS0000000627472,CSS,CSS,2025-09-01 10:28:02,2025-09-08 10:15:00.000,2025-09-08 10:15:00,5.0
FS0000000627518,CSS,CSS,2025-09-01 11:22:24,2025-09-02 11:28:13.000,2025-09-02 11:28:13,2.0
FS0000000628387,GAUTENG_TSH,CSS,2025-09-01 11:50:59,2025-09-02 08:46:43.000,2025-09-02 08:46:43,1.0
FS0000000628389,GAUTENG_TSH,CSS,2025-09-01 11:51:15,2025-09-02 08:47:33.000,2025-09-02 08:47:33,1.0
FS0000000627520,CSS,CSS,2025-09-01 16:50:52,2025-09-05 16:20:47.000,2025-09-05 16:20:47,4.0
FS0000000628387,CSS,CSS,2025-09-02 08:46:43,,,
FS0000000628389,CSS,CSS,2025-09-02 08:47:33,,,
FS0000000627487,CSS,CSS,2025-09-04 18:01:21,2025-09-08 10:58:58.000,2025-09-08 10:58:58,2.0
FS0000000627543,CSS,CSS,2025-09-05 09:54:59,2025-09-08 11:05:17.000,2025-09-08 11:05:17,2.0
FS0000000627551,CSS,CSS,2025-09-05 10:04:35,2025-09-08 11:10:29.000,2025-09-08 11:10:29,2.0
FS0000000628268,CSS,CSS,2025-09-05 10:14:36,2025-09-16 17:55:13.000,2025-09-16 17:55:13,8.0
FS0000000627487,GAUTENG_TSH,CSS,2025-09-08 10:58:58,2025-09-10 08:34:46.000,2025-09-10 08:34:46,2.0
FS0000000628639,GAUTENG_TSH,CSS,2025-09-08 11:29:41,2025-09-08 14:56:53.000,2025-09-08 14:56:53,1.0
FS0000000628640,GAUTENG_TSH,CSS,2025-09-08 11:30:12,2025-09-08 15:52:13.000,2025-09-08 15:52:13,1.0
FS0000000628905,CENTRAL,CSS,2025-09-08 11:59:29,2025-09-09 18:07:35.000,2025-09-09 18:07:35,2.0
FS0000000628641,CENTRAL,CSS,2025-09-08 11:59:50,2025-09-09 17:56:16.000,2025-09-09 17:56:16,2.0
FS0000000625295,CSS,CSS,2025-09-08 14:06:04,2025-09-09 10:51:31.000,2025-09-09 10:51:31,1.0
FS0000000628639,CSS,CSS,2025-09-08 14:56:53,2025-09-17 11:51:27.000,2025-09-17 11:51:27,7.0
FS0000000628640,CSS,CSS,2025-09-08 15:52:13,2025-09-18 08:59:06.000,2025-09-18 08:59:06,8.0
FS0000000625573,CSS,CSS,2025-09-09 09:18:34,2025-09-09 17:10:17.000,2025-09-09 17:10:17,1.0
FS0000000624565,CSS,CSS,2025-09-09 09:21:19,2025-09-09 10:05:09.000,2025-09-09 10:05:09,1.0
FS0000000625561,CSS,CSS,2025-09-09 09:45:17,2025-09-15 09:59:42.000,2025-09-15 09:59:42,5.0
FS0000000628264,CSS,CSS,2025-09-09 09:53:18,,,
FS0000000628450,CSS,CSS,2025-09-09 10:08:47,,,
FS0000000625295,GAUTENG_JHB,CSS,2025-09-09 10:51:31,2025-09-09 12:32:12.000,2025-09-09 12:32:12,1.0
FS0000000628709,CSS,CSS,2025-09-09 11:02:14,2025-09-09 17:09:57.000,2025-09-09 17:09:57,1.0
FS0000000628488,CAPE,CSS,2025-09-09 11:17:42,2025-09-09 11:18:35.000,2025-09-09 11:18:35,1.0
FS0000000628488,CAPE,CSS,2025-09-09 11:17:42,2025-09-09 11:18:35.000,2025-09-09 11:18:35,1.0
FS0000000628488,CAPE,CSS,2025-09-09 11:38:31,2025-09-09 11:46:56.000,2025-09-09 11:46:56,1.0
FS0000000628488,CAPE,CSS,2025-09-09 11:38:31,2025-09-09 11:46:56.000,2025-09-09 11:46:56,1.0
FS0000000628489,CAPE,CSS,2025-09-09 11:45:08,2025-09-09 11:49:03.000,2025-09-09 11:49:03,1.0
FS0000000628489,CAPE,CSS,2025-09-09 11:45:08,2025-09-09 11:49:03.000,2025-09-09 11:49:03,1.0
FS0000000628488,CSS,CSS,2025-09-09 11:46:56,,,
FS0000000628488,CSS,CSS,2025-09-09 11:46:56,,,
FS0000000628489,CSS,CSS,2025-09-09 11:49:03,,,
FS0000000628489,CSS,CSS,2025-09-09 11:49:03,,,
FS0000000625295,CSS,CSS,2025-09-09 12:32:12,2025-09-10 10:33:15.000,2025-09-10 10:33:15,1.0
FS0000000619551,CSS,CSS,2025-09-09 12:44:58,2025-09-15 13:17:35.000,2025-09-15 13:17:35,5.0
FS0000000619552,CSS,CSS,2025-09-09 14:30:04,2025-09-15 13:21:01.000,2025-09-15 13:21:01,4.0
FS0000000628641,CSS,CSS,2025-09-09 17:56:16,2025-09-15 11:54:05.000,2025-09-15 11:54:05,4.0
FS0000000628905,CSS,CSS,2025-09-09 18:07:35,2025-09-15 11:54:12.000,2025-09-15 11:54:12,4.0
FS0000000627487,CSS,CSS,2025-09-10 08:34:46,2025-09-18 09:32:15.000,2025-09-18 09:32:15,7.0
FS0000000625300,CSS,CSS,2025-09-10 10:32:22,2025-09-10 10:32:28.000,2025-09-10 10:32:28,1.0
FS0000000625300,GAUTENG_JHB,CSS,2025-09-10 10:32:28,2025-09-10 11:11:56.000,2025-09-10 11:11:56,1.0
FS0000000625295,GAUTENG_JHB,CSS,2025-09-10 10:33:15,2025-09-10 11:07:54.000,2025-09-10 11:07:54,1.0
FS0000000625295,CSS,CSS,2025-09-10 11:07:54,,,
FS0000000625300,CSS,CSS,2025-09-10 11:11:56,2025-09-15 10:00:32.000,2025-09-15 10:00:32,3.0
FS0000000629094,CSS,CSS,2025-09-11 09:43:03,2025-09-19 11:20:36.000,2025-09-19 11:20:36,7.0
FS0000000629075,CSS,CSS,2025-09-11 09:43:37,2025-09-19 11:20:07.000,2025-09-19 11:20:07,7.0
FS0000000629076,CSS,CSS,2025-09-11 09:43:56,2025-09-19 11:20:49.000,2025-09-19 11:20:49,7.0
FS0000000629068,GAUTENG_TSH,CSS,2025-09-15 11:28:15,2025-09-16 13:23:08.000,2025-09-16 13:23:08,2.0
FS0000000629069,GAUTENG_TSH,CSS,2025-09-15 11:28:35,2025-09-15 12:59:20.000,2025-09-15 12:59:20,1.0
FS0000000629072,GAUTENG_TSH,CSS,2025-09-15 11:28:59,2025-09-16 13:17:38.000,2025-09-16 13:17:38,2.0
FS0000000629069,CSS,CSS,2025-09-15 12:59:20,,,
FS0000000629072,CSS,CSS,2025-09-16 13:17:38,,,
FS0000000628872,GAUTENG_TSH,CSS,2025-09-16 13:22:54,2025-09-16 13:37:07.000,2025-09-16 13:37:07,1.0
FS0000000629068,CSS,CSS,2025-09-16 13:23:08,,,
FS0000000628872,CSS,CSS,2025-09-16 13:37:07,,,
FS0000000628371,GAUTENG_TSH,CSS,2025-09-18 15:12:43,,,
FS0000000629075,GAUTENG_JHB,CSS,2025-09-19 11:20:07,2025-09-22 10:40:36.000,2025-09-22 10:40:36,1.0
FS0000000629094,GAUTENG_JHB,CSS,2025-09-19 11:20:36,2025-09-22 10:45:22.000,2025-09-22 10:45:22,1.0
FS0000000629076,GAUTENG_JHB,CSS,2025-09-19 11:20:49,2025-09-22 10:41:51.000,2025-09-22 10:41:51,1.0
FS0000000624504,CSS,CSS,2025-09-19 13:46:36,,,
FS0000000628901,KZN,CSS,2025-09-19 14:04:51,,,
FS0000000630597,CAPE,CSS,2025-09-22 11:58:26,,,
FS0000000630601,CAPE,CSS,2025-09-22 12:18:20,,,
FS0000000630599,CAPE,CSS,2025-09-22 12:18:42,,,
FS0000000630596,CAPE,CSS,2025-09-22 12:20:33,,,
